时间,操作,价格,数量,多头数量,多头均价,此次盈亏,总资金
2021-10-07 16:48:41,开始回测,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-30,BUY,2.27,4405.286343612334,4405.286343612334,2.27,0.0,10000.0
2021-08-31,BUY,4.66,2145.922746781116,2145.922746781116,4.66,0.0,10000.0
2021-09-01,BUY,4.87,2053.388090349076,2053.388090349076,4.87,0.0,10000.0
2021-09-02,BUY,4.92,2032.520325203252,2032.520325203252,4.92,0.0,10000.0
2021-09-03,BUY,4.88,2049.1803278688526,2049.1803278688526,4.88,0.0,10000.0
2021-09-06,BUY,4.86,2057.61316872428,2057.61316872428,4.86,0.0,10000.0
2021-09-07,BUY,4.86,2057.61316872428,2057.61316872428,4.86,0.0,10000.0
2021-09-08,BUY,4.9,2040.8163265306123,2040.8163265306123,4.9,0.0,10000.0
2021-09-09,BUY,4.9,2040.8163265306123,2040.8163265306123,4.9,0.0,10000.0
2021-09-10,BUY,4.91,2036.6598778004072,2036.6598778004072,4.91,0.0,10000.0
2021-09-13,BUY,5.0,2000.0,2000.0,5.0,0.0,10000.0
2021-09-14,BUY,4.76,2100.840336134454,2100.840336134454,4.76,0.0,10000.0
2021-09-15,BUY,4.59,2178.649237472767,2178.649237472767,4.59,0.0,10000.0
2021-09-16,BUY,4.45,2247.191011235955,2247.191011235955,4.45,0.0,10000.0
2021-09-17,BUY,4.43,2257.3363431151242,2257.3363431151242,4.43,0.0,10000.0
2021-09-22,BUY,4.44,2252.252252252252,2252.252252252252,4.44,0.0,10000.0
2021-09-23,BUY,4.59,2178.649237472767,2178.649237472767,4.59,0.0,10000.0
2021-09-24,BUY,4.5,2222.222222222222,2222.222222222222,4.5,0.0,10000.0
2021-09-27,BUY,4.37,2288.329519450801,2288.329519450801,4.37,0.0,10000.0
2021-09-28,BUY,4.51,2217.2949002217297,2217.2949002217297,4.51,0.0,10000.0
2021-09-29,BUY,4.46,2242.152466367713,2242.152466367713,4.46,0.0,10000.0
2021-09-30,BUY,4.45,2247.191011235955,2247.191011235955,4.45,0.0,10000.0
