date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2000-07-03,sh.600000,23.5000,23.5000,23.2000,23.2300,23.5500,2027515,47119215.0000,3,0.506879,1,-1.358810,0
2000-07-04,sh.600000,23.2000,23.3000,23.1200,23.2500,23.2300,1515169,35139353.0000,3,0.378792,1,0.086098,0
2000-07-05,sh.600000,23.2500,23.4700,23.1500,23.2200,23.2500,1421899,32988587.0000,3,0.355475,1,-0.129035,0
2000-07-06,sh.600000,23.1500,23.2700,23.0100,23.0800,23.0700,1320080,30495193.0000,3,0.330020,1,0.043347,0
2000-07-07,sh.600000,23.0800,23.3200,23.0500,23.2500,23.0800,1294061,29985289.0000,3,0.323515,1,0.736569,0
2000-07-10,sh.600000,23.3000,23.4000,23.0600,23.1100,23.2500,1990061,45984564.0000,3,0.497515,1,-0.602148,0
2000-07-11,sh.600000,23.1100,23.5700,23.1000,23.4600,23.1100,2414683,56295528.0000,3,0.603671,1,1.514489,0
2000-07-12,sh.600000,23.5000,23.9500,23.4600,23.6000,23.4600,3193834,75686155.0000,3,0.798459,1,0.596766,0
2000-07-13,sh.600000,23.7800,23.8000,23.3600,23.4400,23.6000,2374160,55708673.0000,3,0.593540,1,-0.677965,0
2000-07-14,sh.600000,23.4500,23.6000,23.2700,23.6000,23.4400,2048437,47846538.0000,3,0.512109,1,0.682593,0
2000-07-17,sh.600000,23.6500,23.6900,23.3400,23.4000,23.6000,1667267,39087272.0000,3,0.416817,1,-0.847461,0
2000-07-18,sh.600000,23.4000,23.4700,23.2500,23.3500,23.4000,1596244,37244459.0000,3,0.399061,1,-0.213672,0
2000-07-19,sh.600000,23.4000,23.8000,23.3600,23.7100,23.3500,2766620,65375825.0000,3,0.691655,1,1.541750,0
2000-07-20,sh.600000,23.8000,23.8800,23.4200,23.4500,23.7100,1870658,44190878.0000,3,0.467665,1,-1.096577,0
2000-07-21,sh.600000,23.8000,23.8000,23.4400,23.5400,23.4500,1983564,46836849.0000,3,0.495891,1,0.383796,0
2000-07-24,sh.600000,23.5600,23.6500,23.2800,23.3100,23.5400,1378775,32203727.0000,3,0.344694,1,-0.977066,0
2000-07-25,sh.600000,23.3000,23.5200,23.2000,23.5200,23.3100,1514173,35311111.0000,3,0.378543,1,0.900905,0
2000-07-26,sh.600000,23.5000,23.5200,23.2900,23.3900,23.5200,1350309,31593068.0000,3,0.337577,1,-0.552726,0
2000-07-27,sh.600000,23.4000,25.7000,23.4000,24.5300,23.3900,23718726,587270283.0000,3,5.929682,1,4.873883,0
2000-07-28,sh.600000,24.4000,24.7000,23.9800,23.9900,24.5300,4080523,98283113.0000,3,1.020131,1,-2.201390,0
2000-07-31,sh.600000,24.0300,24.4000,23.9800,24.0500,23.9900,2956076,71283308.0000,3,0.739019,1,0.250102,0
2000-08-01,sh.600000,24.0600,24.3500,24.0000,24.0500,24.0500,1654653,39913391.0000,3,0.413663,1,0.000000,0
2000-08-02,sh.600000,24.1100,24.1800,23.8000,23.8500,24.0500,2059471,49172469.0000,3,0.514868,1,-0.831596,0
2000-08-03,sh.600000,23.9000,24.1900,23.6600,23.9000,23.8500,2379563,56707989.0000,3,0.594891,1,0.209640,0
2000-08-04,sh.600000,23.9100,24.0500,23.7000,23.8800,23.9000,2034971,48536486.0000,3,0.508743,1,-0.083684,0
2000-08-07,sh.600000,23.9000,24.0000,23.7800,23.8600,23.8800,1518312,36269312.0000,3,0.379578,1,-0.083746,0
2000-08-08,sh.600000,24.0000,24.0300,23.8000,23.9000,23.8600,1334548,31858537.0000,3,0.333637,1,0.167640,0
2000-08-09,sh.600000,23.9000,24.3000,23.8700,24.0700,23.9000,2045007,49178595.0000,3,0.511252,1,0.711297,0
2000-08-10,sh.600000,24.2000,24.2000,23.8500,23.9000,24.0700,2039085,48813846.0000,3,0.509771,1,-0.706274,0
2000-08-11,sh.600000,23.9000,24.0500,23.8000,23.9000,23.9000,2173385,51988910.0000,3,0.543346,1,0.000000,0
2000-08-14,sh.600000,23.9000,24.4200,23.9000,24.1200,23.9000,2408592,58221548.0000,3,0.602148,1,0.920507,0
2000-08-15,sh.600000,24.1200,24.1800,24.0000,24.0700,24.1200,1324516,31859776.0000,3,0.331129,1,-0.207302,0
2000-08-16,sh.600000,24.0700,24.2300,23.8700,24.1300,24.0700,1914486,46013617.0000,3,0.478621,1,0.249271,0
2000-08-17,sh.600000,24.1100,24.5000,24.0000,24.1800,24.1300,2880846,69924357.0000,3,0.720212,1,0.207216,0
2000-08-18,sh.600000,24.2100,24.3800,24.0200,24.0500,24.1800,1071200,25864537.0000,3,0.267800,1,-0.537639,0
2000-08-21,sh.600000,24.1200,24.1400,23.9200,23.9700,24.0500,1819350,43651330.0000,3,0.454838,1,-0.332640,0
2000-08-22,sh.600000,24.0500,24.0600,23.8000,23.8000,23.9700,1750100,41847891.0000,3,0.437525,1,-0.709220,0
2000-08-23,sh.600000,23.7000,23.8800,23.2000,23.6000,23.8000,3833428,90353102.0000,3,0.958357,1,-0.840331,0
2000-08-24,sh.600000,23.6000,23.9700,23.4800,23.6100,23.6000,1721714,40726504.0000,3,0.430428,1,0.042374,0
2000-08-25,sh.600000,23.6100,23.9700,23.4000,23.7500,23.6100,2391758,56257253.0000,3,0.597940,1,0.592966,0
