,code,name,lot_size,stock_type,option_type,stock_owner,strike_time,strike_price,suspension,stock_id,index_option_type
0,US.X210416C1000,X 210416 1.00C,100,DRVT,CALL,US.X,2021-04-16,1.0,False,33966244,N/A
1,US.X210416P1000,X 210416 1.00P,100,DRVT,PUT,US.X,2021-04-16,1.0,False,33966264,N/A
2,US.X210416C2000,X 210416 2.00C,100,DRVT,CALL,US.X,2021-04-16,2.0,False,33966249,N/A
3,US.X210416P2000,X 210416 2.00P,100,DRVT,PUT,US.X,2021-04-16,2.0,False,33966277,N/A
4,US.X210416C3000,X 210416 3.00C,100,DRVT,CALL,US.X,2021-04-16,3.0,False,33966253,N/A
5,US.X210416P3000,X 210416 3.00P,100,DRVT,PUT,US.X,2021-04-16,3.0,False,33966273,N/A
6,US.X210416C4000,X 210416 4.00C,100,DRVT,CALL,US.X,2021-04-16,4.0,False,33966255,N/A
7,US.X210416P4000,X 210416 4.00P,100,DRVT,PUT,US.X,2021-04-16,4.0,False,33966276,N/A
8,US.X210416C5000,X 210416 5.00C,100,DRVT,CALL,US.X,2021-04-16,5.0,False,33966254,N/A
9,US.X210416P5000,X 210416 5.00P,100,DRVT,PUT,US.X,2021-04-16,5.0,False,33966272,N/A
10,US.X210416C6000,X 210416 6.00C,100,DRVT,CALL,US.X,2021-04-16,6.0,False,33966257,N/A
11,US.X210416P6000,X 210416 6.00P,100,DRVT,PUT,US.X,2021-04-16,6.0,False,33966268,N/A
12,US.X210416C7000,X 210416 7.00C,100,DRVT,CALL,US.X,2021-04-16,7.0,False,33966256,N/A
13,US.X210416P7000,X 210416 7.00P,100,DRVT,PUT,US.X,2021-04-16,7.0,False,33966274,N/A
14,US.X210416C8000,X 210416 8.00C,100,DRVT,CALL,US.X,2021-04-16,8.0,False,33966252,N/A
15,US.X210416P8000,X 210416 8.00P,100,DRVT,PUT,US.X,2021-04-16,8.0,False,33966281,N/A
16,US.X210416C9000,X 210416 9.00C,100,DRVT,CALL,US.X,2021-04-16,9.0,False,33966258,N/A
17,US.X210416P9000,X 210416 9.00P,100,DRVT,PUT,US.X,2021-04-16,9.0,False,33966269,N/A
18,US.X210416C10000,X 210416 10.00C,100,DRVT,CALL,US.X,2021-04-16,10.0,False,33966246,N/A
19,US.X210416P10000,X 210416 10.00P,100,DRVT,PUT,US.X,2021-04-16,10.0,False,33966266,N/A
20,US.X210416C11000,X 210416 11.00C,100,DRVT,CALL,US.X,2021-04-16,11.0,False,33966245,N/A
21,US.X210416P11000,X 210416 11.00P,100,DRVT,PUT,US.X,2021-04-16,11.0,False,33966265,N/A
22,US.X210416C12000,X 210416 12.00C,100,DRVT,CALL,US.X,2021-04-16,12.0,False,33966247,N/A
23,US.X210416P12000,X 210416 12.00P,100,DRVT,PUT,US.X,2021-04-16,12.0,False,33966267,N/A
24,US.X210416C13000,X 210416 13.00C,100,DRVT,CALL,US.X,2021-04-16,13.0,False,33966243,N/A
25,US.X210416P13000,X 210416 13.00P,100,DRVT,PUT,US.X,2021-04-16,13.0,False,33966275,N/A
26,US.X210416C14000,X 210416 14.00C,100,DRVT,CALL,US.X,2021-04-16,14.0,False,33966248,N/A
27,US.X210416P14000,X 210416 14.00P,100,DRVT,PUT,US.X,2021-04-16,14.0,False,33966270,N/A
28,US.X210416C15000,X 210416 15.00C,100,DRVT,CALL,US.X,2021-04-16,15.0,False,33966250,N/A
29,US.X210416P15000,X 210416 15.00P,100,DRVT,PUT,US.X,2021-04-16,15.0,False,33966278,N/A
30,US.X210416C16000,X 210416 16.00C,100,DRVT,CALL,US.X,2021-04-16,16.0,False,33966251,N/A
31,US.X210416P16000,X 210416 16.00P,100,DRVT,PUT,US.X,2021-04-16,16.0,False,33966271,N/A
32,US.X210416C16500,X 210416 16.50C,100,DRVT,CALL,US.X,2021-04-16,16.5,False,37052846,N/A
33,US.X210416P16500,X 210416 16.50P,100,DRVT,PUT,US.X,2021-04-16,16.5,False,37052858,N/A
34,US.X210416C17000,X 210416 17.00C,100,DRVT,CALL,US.X,2021-04-16,17.0,False,35118149,N/A
35,US.X210416P17000,X 210416 17.00P,100,DRVT,PUT,US.X,2021-04-16,17.0,False,35118161,N/A
36,US.X210416C17500,X 210416 17.50C,100,DRVT,CALL,US.X,2021-04-16,17.5,False,37052845,N/A
37,US.X210416P17500,X 210416 17.50P,100,DRVT,PUT,US.X,2021-04-16,17.5,False,37052855,N/A
38,US.X210416C18000,X 210416 18.00C,100,DRVT,CALL,US.X,2021-04-16,18.0,False,35118148,N/A
39,US.X210416P18000,X 210416 18.00P,100,DRVT,PUT,US.X,2021-04-16,18.0,False,35118162,N/A
40,US.X210416C18500,X 210416 18.50C,100,DRVT,CALL,US.X,2021-04-16,18.5,False,37052844,N/A
41,US.X210416P18500,X 210416 18.50P,100,DRVT,PUT,US.X,2021-04-16,18.5,False,37052857,N/A
42,US.X210416C19000,X 210416 19.00C,100,DRVT,CALL,US.X,2021-04-16,19.0,False,35118150,N/A
43,US.X210416P19000,X 210416 19.00P,100,DRVT,PUT,US.X,2021-04-16,19.0,False,35118163,N/A
44,US.X210416C19500,X 210416 19.50C,100,DRVT,CALL,US.X,2021-04-16,19.5,False,37052847,N/A
45,US.X210416P19500,X 210416 19.50P,100,DRVT,PUT,US.X,2021-04-16,19.5,False,37052856,N/A
46,US.X210416C20000,X 210416 20.00C,100,DRVT,CALL,US.X,2021-04-16,20.0,False,35042246,N/A
47,US.X210416P20000,X 210416 20.00P,100,DRVT,PUT,US.X,2021-04-16,20.0,False,35042255,N/A
48,US.X210416C20500,X 210416 20.50C,100,DRVT,CALL,US.X,2021-04-16,20.5,False,37052843,N/A
49,US.X210416P20500,X 210416 20.50P,100,DRVT,PUT,US.X,2021-04-16,20.5,False,37052860,N/A
50,US.X210416C21000,X 210416 21.00C,100,DRVT,CALL,US.X,2021-04-16,21.0,False,35180062,N/A
51,US.X210416P21000,X 210416 21.00P,100,DRVT,PUT,US.X,2021-04-16,21.0,False,35180165,N/A
