时间,操作,价格,数量,多头数量,多头均价,此次盈亏,总资金
2021-09-19 18:12:43,开始回测,0.0,0.0,0.0,0.0,0.0,0.0
时间,操作,价格,数量,多头数量,多头均价,此次盈亏,总资金
2021-09-19 18:16:48,开始回测,0.0,0.0,0.0,0.0,0.0,0.0
时间,操作,价格,数量,多头数量,多头均价,此次盈亏,总资金
2021-09-19 18:18:19,开始回测,0.0,0.0,0.0,0.0,0.0,0.0
时间,操作,价格,数量,多头数量,多头均价,此次盈亏,总资金
2021-09-19 18:30:44,开始回测,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-04,BUY,187.19,53.42165713980448,53.42165713980448,187.19,0.0,10000.0
2015-06-24,SELL,261.21,53.42165713980448,0.0,0.0,3954.2710614883267,13954.271061488327
2015-09-25,BUY,193.46,72.13000652066746,72.13000652066746,193.46,0.0,13954.271061488327
2015-12-08,SELL,211.94,72.13000652066746,0.0,0.0,1332.962520501934,15287.233581990262
2015-12-22,BUY,225.03,67.9342024707384,67.9342024707384,225.03,0.0,15287.233581990262
2016-01-07,SELL,202.23,67.9342024707384,0.0,0.0,-1548.8998163328363,13738.333765657426
2016-02-24,BUY,217.74,63.0951307323295,63.0951307323295,217.74,0.0,13738.333765657426
2016-05-06,SELL,252.22,63.0951307323295,0.0,0.0,2175.5201076507205,15913.853873308146
2016-05-12,BUY,255.96,62.173206256087454,62.173206256087454,255.96,0.0,15913.853873308146
2016-08-12,SELL,316.97,62.173206256087454,0.0,0.0,3793.1873136838967,19707.041186992043
2016-10-26,BUY,313.68,62.82530345253775,62.82530345253775,313.68,0.0,19707.041186992043
2016-12-06,SELL,326.42,62.82530345253775,0.0,0.0,800.3943659853315,20507.435552977375
2016-12-07,BUY,327.45,62.627685304557566,62.627685304557566,327.45,0.0,20507.435552977375
2017-07-17,SELL,450.07,62.627685304557566,0.0,0.0,7679.406772044849,28186.842325022226
2017-08-04,BUY,473.64,59.51111038979442,59.51111038979442,473.64,0.0,28186.842325022226
2017-09-14,SELL,490.71,59.51111038979442,0.0,0.0,1015.8546543537904,29202.696979376014
2017-09-26,BUY,509.29,57.340016453054275,57.340016453054275,509.29,0.0,29202.696979376014
2017-12-12,SELL,651.32,57.340016453054275,0.0,0.0,8144.0025368273,37346.69951620331
2017-12-28,BUY,718.69,51.964963358615414,51.964963358615414,718.69,0.0,37346.69951620331
2018-02-09,SELL,683.43,51.964963358615414,0.0,0.0,-1832.284608024785,35514.41490817853
2018-03-16,BUY,739.85,48.002182750798845,48.002182750798845,739.85,0.0,35514.41490817853
2018-03-29,SELL,689.1,48.002182750798845,0.0,0.0,-2436.1107746030416,33078.30413357549
2018-05-16,BUY,734.52,45.0339053171806,45.0339053171806,734.52,0.0,33078.30413357549
2018-07-06,SELL,714.12,45.0339053171806,0.0,0.0,-918.6916684704831,32159.612465105005
2018-08-01,BUY,714.94,44.98225370675162,44.98225370675162,714.94,0.0,32159.612465105005
2018-08-13,SELL,679.22,44.98225370675162,0.0,0.0,-1606.766102405169,30552.846362699835
2018-09-21,BUY,700.01,43.6462998567161,43.6462998567161,700.01,0.0,30552.846362699835
2018-10-09,SELL,695.0,43.6462998567161,0.0,0.0,-218.66796228214724,30334.178400417688
2018-10-12,BUY,668.0,45.41044670721211,45.41044670721211,668.0,0.0,30334.178400417688
2018-10-29,SELL,549.09,45.41044670721211,0.0,0.0,-5399.75621795459,24934.4221824631
2018-12-06,BUY,591.8,42.133190575300944,42.133190575300944,591.8,0.0,24934.4221824631
2019-05-22,SELL,888.0,42.133190575300944,0.0,0.0,12479.851048404142,37414.27323086724
2019-06-20,BUY,975.0,38.37361357012025,38.37361357012025,975.0,0.0,37414.27323086724
2019-07-29,SELL,976.41,38.37361357012025,0.0,0.0,54.10679513386833,37468.38002600111
2019-08-16,BUY,1054.6,35.52852268727585,35.52852268727585,1054.6,0.0,37468.38002600111
2019-12-05,SELL,1129.8,35.52852268727585,0.0,0.0,2671.744906083146,40140.12493208426
2020-03-03,BUY,1113.0,36.06480227500832,36.06480227500832,1113.0,0.0,40140.12493208426
2020-03-19,SELL,996.0,36.06480227500832,0.0,0.0,-4219.581866175973,35920.54306590829
2020-03-27,BUY,1075.5,33.39892428257396,33.39892428257396,1075.5,0.0,35920.54306590829
2020-03-31,SELL,1111.0,33.39892428257396,0.0,0.0,1185.6618120313756,37106.204877939665
2020-04-16,BUY,1197.1,30.9967462016036,30.9967462016036,1197.1,0.0,37106.204877939665
2020-08-12,SELL,1626.95,30.9967462016036,0.0,0.0,13323.951354759312,50430.15623269898
2020-08-25,BUY,1727.0,29.20101692686681,29.20101692686681,1727.0,0.0,50430.15623269898
2020-09-28,SELL,1661.0,29.20101692686681,0.0,0.0,-1927.2671171732095,48502.88911552577
2020-11-02,BUY,1674.01,28.97407370059066,28.97407370059066,1674.01,0.0,48502.88911552577
2020-11-17,SELL,1715.8,28.97407370059066,0.0,0.0,1210.8265399476827,49713.715655473454
2020-11-24,BUY,1763.5,28.190368956888832,28.190368956888832,1763.5,0.0,49713.715655473454
2021-03-15,SELL,1975.45,28.190368956888832,0.0,0.0,5974.9487004125895,55688.664355886045
2021-04-13,BUY,2021.0,27.555004629335006,27.555004629335006,2021.0,0.0,55688.664355886045
2021-05-10,SELL,1879.03,27.555004629335006,0.0,0.0,-3911.9840072266916,51776.680348659356
2021-06-02,BUY,2222.0,23.301836340530762,23.301836340530762,2222.0,0.0,51776.680348659356
2021-06-30,SELL,2056.7,23.301836340530762,0.0,0.0,-3851.793547089739,47924.88680156962
时间,操作,价格,数量,多头数量,多头均价,此次盈亏,总资金
2021-09-19 18:31:06,开始回测,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-04,BUY,187.19,53.42165713980448,53.42165713980448,187.19,0.0,10000.0
时间,操作,价格,数量,多头数量,多头均价,此次盈亏,总资金
2021-09-19 18:32:04,开始回测,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-04,BUY,187.19,53.42165713980448,53.42165713980448,187.19,0.0,10000.0
2015-06-24,SELL,261.21,53.42165713980448,0.0,0.0,3954.2710614883267,13954.271061488327
2015-09-25,BUY,193.46,72.13000652066746,72.13000652066746,193.46,0.0,13954.271061488327
2015-12-08,SELL,211.94,72.13000652066746,0.0,0.0,1332.962520501934,15287.233581990262
2015-12-22,BUY,225.03,67.9342024707384,67.9342024707384,225.03,0.0,15287.233581990262
2016-01-07,SELL,202.23,67.9342024707384,0.0,0.0,-1548.8998163328363,13738.333765657426
2016-02-24,BUY,217.74,63.0951307323295,63.0951307323295,217.74,0.0,13738.333765657426
2016-05-06,SELL,252.22,63.0951307323295,0.0,0.0,2175.5201076507205,15913.853873308146
2016-05-12,BUY,255.96,62.173206256087454,62.173206256087454,255.96,0.0,15913.853873308146
2016-08-12,SELL,316.97,62.173206256087454,0.0,0.0,3793.1873136838967,19707.041186992043
2016-10-26,BUY,313.68,62.82530345253775,62.82530345253775,313.68,0.0,19707.041186992043
2016-12-06,SELL,326.42,62.82530345253775,0.0,0.0,800.3943659853315,20507.435552977375
2016-12-07,BUY,327.45,62.627685304557566,62.627685304557566,327.45,0.0,20507.435552977375
2017-07-17,SELL,450.07,62.627685304557566,0.0,0.0,7679.406772044849,28186.842325022226
2017-08-04,BUY,473.64,59.51111038979442,59.51111038979442,473.64,0.0,28186.842325022226
2017-09-14,SELL,490.71,59.51111038979442,0.0,0.0,1015.8546543537904,29202.696979376014
2017-09-26,BUY,509.29,57.340016453054275,57.340016453054275,509.29,0.0,29202.696979376014
2017-12-12,SELL,651.32,57.340016453054275,0.0,0.0,8144.0025368273,37346.69951620331
2017-12-28,BUY,718.69,51.964963358615414,51.964963358615414,718.69,0.0,37346.69951620331
2018-02-09,SELL,683.43,51.964963358615414,0.0,0.0,-1832.284608024785,35514.41490817853
2018-03-16,BUY,739.85,48.002182750798845,48.002182750798845,739.85,0.0,35514.41490817853
2018-03-29,SELL,689.1,48.002182750798845,0.0,0.0,-2436.1107746030416,33078.30413357549
2018-05-16,BUY,734.52,45.0339053171806,45.0339053171806,734.52,0.0,33078.30413357549
2018-07-06,SELL,714.12,45.0339053171806,0.0,0.0,-918.6916684704831,32159.612465105005
2018-08-01,BUY,714.94,44.98225370675162,44.98225370675162,714.94,0.0,32159.612465105005
2018-08-13,SELL,679.22,44.98225370675162,0.0,0.0,-1606.766102405169,30552.846362699835
2018-09-21,BUY,700.01,43.6462998567161,43.6462998567161,700.01,0.0,30552.846362699835
2018-10-09,SELL,695.0,43.6462998567161,0.0,0.0,-218.66796228214724,30334.178400417688
2018-10-12,BUY,668.0,45.41044670721211,45.41044670721211,668.0,0.0,30334.178400417688
2018-10-29,SELL,549.09,45.41044670721211,0.0,0.0,-5399.75621795459,24934.4221824631
2018-12-06,BUY,591.8,42.133190575300944,42.133190575300944,591.8,0.0,24934.4221824631
2019-05-22,SELL,888.0,42.133190575300944,0.0,0.0,12479.851048404142,37414.27323086724
2019-06-20,BUY,975.0,38.37361357012025,38.37361357012025,975.0,0.0,37414.27323086724
2019-07-29,SELL,976.41,38.37361357012025,0.0,0.0,54.10679513386833,37468.38002600111
2019-08-16,BUY,1054.6,35.52852268727585,35.52852268727585,1054.6,0.0,37468.38002600111
2019-12-05,SELL,1129.8,35.52852268727585,0.0,0.0,2671.744906083146,40140.12493208426
2020-03-03,BUY,1113.0,36.06480227500832,36.06480227500832,1113.0,0.0,40140.12493208426
2020-03-19,SELL,996.0,36.06480227500832,0.0,0.0,-4219.581866175973,35920.54306590829
2020-03-27,BUY,1075.5,33.39892428257396,33.39892428257396,1075.5,0.0,35920.54306590829
2020-03-31,SELL,1111.0,33.39892428257396,0.0,0.0,1185.6618120313756,37106.204877939665
2020-04-16,BUY,1197.1,30.9967462016036,30.9967462016036,1197.1,0.0,37106.204877939665
2020-08-12,SELL,1626.95,30.9967462016036,0.0,0.0,13323.951354759312,50430.15623269898
2020-08-25,BUY,1727.0,29.20101692686681,29.20101692686681,1727.0,0.0,50430.15623269898
2020-09-28,SELL,1661.0,29.20101692686681,0.0,0.0,-1927.2671171732095,48502.88911552577
2020-11-02,BUY,1674.01,28.97407370059066,28.97407370059066,1674.01,0.0,48502.88911552577
2020-11-17,SELL,1715.8,28.97407370059066,0.0,0.0,1210.8265399476827,49713.715655473454
2020-11-24,BUY,1763.5,28.190368956888832,28.190368956888832,1763.5,0.0,49713.715655473454
2021-03-15,SELL,1975.45,28.190368956888832,0.0,0.0,5974.9487004125895,55688.664355886045
2021-04-13,BUY,2021.0,27.555004629335006,27.555004629335006,2021.0,0.0,55688.664355886045
2021-05-10,SELL,1879.03,27.555004629335006,0.0,0.0,-3911.9840072266916,51776.680348659356
2021-06-02,BUY,2222.0,23.301836340530762,23.301836340530762,2222.0,0.0,51776.680348659356
2021-06-30,SELL,2056.7,23.301836340530762,0.0,0.0,-3851.793547089739,47924.88680156962
时间,操作,价格,数量,多头数量,多头均价,此次盈亏,总资金
2021-09-19 18:34:17,开始回测,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-04,BUY,187.19,53.42165713980448,53.42165713980448,187.19,0.0,10000.0
