时间,操作,价格,数量,多头数量,多头均价,此次盈亏,总资金
2021-09-19 21:55:14,开始回测,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-04,BUY,138.12,72.40081088908195,72.40081088908195,138.12,0.0,10000.0
2010-07-06,SELL,127.6,72.40081088908195,0.0,0.0,-761.6565305531428,9238.343469446858
2010-07-27,BUY,142.0,65.05875682709055,65.05875682709055,142.0,0.0,9238.343469446858
2010-11-02,SELL,162.67,65.05875682709055,0.0,0.0,1344.7645036159608,10583.107973062819
2010-11-03,BUY,163.35,64.78792759756853,64.78792759756853,163.35,0.0,10583.107973062819
2010-11-04,SELL,165.05,64.78792759756853,0.0,0.0,110.1394769158676,10693.247449978686
2010-11-12,BUY,177.53,60.23346730118113,60.23346730118113,177.53,0.0,10693.247449978686
2010-12-30,SELL,181.93,60.23346730118113,0.0,0.0,265.0272561251973,10958.274706103883
2011-02-21,BUY,183.48,59.72462778561088,59.72462778561088,183.48,0.0,10958.274706103883
2011-03-16,SELL,181.84,59.72462778561088,0.0,0.0,-97.94838956840103,10860.326316535482
2011-03-29,BUY,178.95,60.68916633995799,60.68916633995799,178.95,0.0,10860.326316535482
2011-04-18,SELL,173.06,60.68916633995799,0.0,0.0,-357.4591897423517,10502.86712679313
2011-05-10,BUY,183.59,57.20827456175788,57.20827456175788,183.59,0.0,10502.86712679313
2011-07-06,SELL,191.07,57.20827456175788,0.0,0.0,427.91789372194836,10930.785020515077
2011-08-05,BUY,203.13,53.81177088817544,53.81177088817544,203.13,0.0,10930.785020515077
2011-09-15,SELL,198.49,53.81177088817544,0.0,0.0,-249.6866169211333,10681.098403593944
2011-11-02,BUY,209.57,50.966733805382184,50.966733805382184,209.57,0.0,10681.098403593944
2011-12-12,SELL,197.54,50.966733805382184,0.0,0.0,-613.1298076787477,10067.968595915196
2011-12-14,BUY,197.84,50.88944902909015,50.88944902909015,197.84,0.0,10067.968595915196
2011-12-22,SELL,199.67,50.88944902909015,0.0,0.0,93.12769172323416,10161.09628763843
2012-02-21,BUY,191.95,52.93616195695978,52.93616195695978,191.95,0.0,10161.09628763843
2012-08-08,SELL,252.8,52.93616195695978,0.0,0.0,3221.165455081004,13382.261742719433
2012-09-25,BUY,238.51,56.1077596021946,56.1077596021946,238.51,0.0,13382.261742719433
2012-11-13,SELL,228.06,56.1077596021946,0.0,0.0,-586.3260878429329,12795.935654876499
2013-01-09,BUY,216.45,59.11728184281127,59.11728184281127,216.45,0.0,12795.935654876499
2013-01-22,SELL,198.83,59.11728184281127,0.0,0.0,-1041.6465060703333,11754.289148806165
2013-04-26,BUY,173.99,67.55726851431785,67.55726851431785,173.99,0.0,11754.289148806165
2013-06-26,SELL,188.72,67.55726851431785,0.0,0.0,995.1185652159013,12749.407714022067
2013-08-29,BUY,168.48,75.67312270905786,75.67312270905786,168.48,0.0,12749.407714022067
2013-09-02,SELL,151.92,75.67312270905786,0.0,0.0,-1253.1469120619984,11496.260801960068
2013-11-05,BUY,138.11,83.23988706074917,83.23988706074917,138.11,0.0,11496.260801960068
2013-11-15,SELL,143.44,83.23988706074917,0.0,0.0,443.66859803379174,11939.92939999386
2013-11-27,BUY,139.95,85.31567988562959,85.31567988562959,139.95,0.0,11939.92939999386
2013-12-12,SELL,136.4,85.31567988562959,0.0,0.0,-302.8706635939836,11637.058736399877
2014-02-07,BUY,133.89,86.91507010530941,86.91507010530941,133.89,0.0,11637.058736399877
2014-04-22,SELL,172.13,86.91507010530941,0.0,0.0,3323.6322808270324,14960.691017226909
2014-04-24,BUY,175.76,85.11999896009848,85.11999896009848,175.76,0.0,14960.691017226909
2014-05-05,SELL,160.25,85.11999896009848,0.0,0.0,-1320.2111838711267,13640.479833355783
2014-06-23,BUY,156.31,87.26556095806912,87.26556095806912,156.31,0.0,13640.479833355783
2014-06-27,SELL,140.38,87.26556095806912,0.0,0.0,-1390.1403860620417,12250.339447293742
2014-07-28,BUY,164.25,74.58349739600452,74.58349739600452,164.25,0.0,12250.339447293742
2014-08-27,SELL,156.37,74.58349739600452,0.0,0.0,-587.7179594805152,11662.621487813227
2014-09-24,BUY,160.19,72.80492844630268,72.80492844630268,160.19,0.0,11662.621487813227
2014-10-13,SELL,156.1,72.80492844630268,0.0,0.0,-297.7721573453782,11364.849330467849
2014-12-04,BUY,174.13,65.26646373667863,65.26646373667863,174.13,0.0,11364.849330467849
2015-01-30,SELL,177.18,65.26646373667863,0.0,0.0,199.06271439687058,11563.912044864719
2015-03-04,BUY,187.19,61.77633444556183,61.77633444556183,187.19,0.0,11563.912044864719
2015-06-24,SELL,261.21,61.77633444556183,0.0,0.0,4572.684275660486,16136.596320525205
2015-09-25,BUY,193.46,83.41050512005171,83.41050512005171,193.46,0.0,16136.596320525205
2015-12-08,SELL,211.94,83.41050512005171,0.0,0.0,1541.4261346185547,17678.02245514376
2015-12-22,BUY,225.03,78.55851422096502,78.55851422096502,225.03,0.0,17678.02245514376
2016-01-07,SELL,202.23,78.55851422096502,0.0,0.0,-1791.1341242380033,15886.888330905756
2016-02-24,BUY,217.74,72.96265422478992,72.96265422478992,217.74,0.0,15886.888330905756
2016-05-06,SELL,252.22,72.96265422478992,0.0,0.0,2515.7523176707555,18402.64064857651
2016-05-12,BUY,255.96,71.89654886926282,71.89654886926282,255.96,0.0,18402.64064857651
2016-08-12,SELL,316.97,71.89654886926282,0.0,0.0,4386.408446513726,22789.04909509024
2016-10-26,BUY,313.68,72.65062833170823,72.65062833170823,313.68,0.0,22789.04909509024
2016-12-06,SELL,326.42,72.65062833170823,0.0,0.0,925.5690049459636,23714.6181000362
2016-12-07,BUY,327.45,72.42210444353704,72.42210444353704,327.45,0.0,23714.6181000362
2017-07-17,SELL,450.07,72.42210444353704,0.0,0.0,8880.398446866511,32595.016546902712
2017-08-04,BUY,473.64,68.81812462398175,68.81812462398175,473.64,0.0,32595.016546902712
2017-09-14,SELL,490.71,68.81812462398175,0.0,0.0,1174.725387331368,33769.74193423408
2017-09-26,BUY,509.29,66.30749069142155,66.30749069142155,509.29,0.0,33769.74193423408
2017-12-12,SELL,651.32,66.30749069142155,0.0,0.0,9417.652902902604,43187.394837136686
2017-12-28,BUY,718.69,60.091826569364656,60.091826569364656,718.69,0.0,43187.394837136686
2018-02-09,SELL,683.43,60.091826569364656,0.0,0.0,-2118.837804835804,41068.55703230088
2018-03-16,BUY,739.85,55.50930192917602,55.50930192917602,739.85,0.0,41068.55703230088
2018-03-29,SELL,689.1,55.50930192917602,0.0,0.0,-2817.097072905683,38251.45995939519
2018-05-16,BUY,734.52,52.07681201246419,52.07681201246419,734.52,0.0,38251.45995939519
2018-07-06,SELL,714.12,52.07681201246419,0.0,0.0,-1062.3669650542683,37189.09299434093
2018-08-01,BUY,714.94,52.01708254446656,52.01708254446656,714.94,0.0,37189.09299434093
2018-08-13,SELL,679.22,52.01708254446656,0.0,0.0,-1858.050188488347,35331.04280585258
2018-09-21,BUY,700.01,50.47219726268565,50.47219726268565,700.01,0.0,35331.04280585258
2018-10-09,SELL,695.0,50.47219726268565,0.0,0.0,-252.86570828605463,35078.17709756653
2018-10-12,BUY,668.0,52.512241164021745,52.512241164021745,668.0,0.0,35078.17709756653
2018-10-29,SELL,549.09,52.512241164021745,0.0,0.0,-6244.230596813824,28833.946500752703
2018-12-06,BUY,591.8,48.72245099823032,48.72245099823032,591.8,0.0,28833.946500752703
2019-05-22,SELL,888.0,48.72245099823032,0.0,0.0,14431.589985675824,43265.53648642853
2019-06-20,BUY,975.0,44.37490921684977,44.37490921684977,975.0,0.0,43265.53648642853
2019-07-29,SELL,976.41,44.37490921684977,0.0,0.0,62.568621995756764,43328.105108424286
2019-08-16,BUY,1054.6,41.084871143963866,41.084871143963866,1054.6,0.0,43328.105108424286
2019-12-05,SELL,1129.8,41.084871143963866,0.0,0.0,3089.5823100260845,46417.68741845037
2020-03-03,BUY,1113.0,41.70502014236332,41.70502014236332,1113.0,0.0,46417.68741845037
2020-03-19,SELL,996.0,41.70502014236332,0.0,0.0,-4879.487356656508,41538.20006179386
2020-03-27,BUY,1075.5,38.62222227967816,38.62222227967816,1075.5,0.0,41538.20006179386
2020-03-31,SELL,1111.0,38.62222227967816,0.0,0.0,1371.0888909285748,42909.28895272243
2020-04-16,BUY,1197.1,35.84436467523385,35.84436467523385,1197.1,0.0,42909.28895272243
2020-08-12,SELL,1626.95,35.84436467523385,0.0,0.0,15407.700155649274,58316.98910837171
2020-08-25,BUY,1727.0,33.76779913628935,33.76779913628935,1727.0,0.0,58316.98910837171
2020-09-28,SELL,1661.0,33.76779913628935,0.0,0.0,-2228.674742995097,56088.31436537661
2020-11-02,BUY,1674.01,33.505363985505824,33.505363985505824,1674.01,0.0,56088.31436537661
2020-11-17,SELL,1715.8,33.505363985505824,0.0,0.0,1400.1891609542872,57488.5035263309
2020-11-24,BUY,1763.5,32.599094712974704,32.599094712974704,1763.5,0.0,57488.5035263309
2021-03-15,SELL,1975.45,32.599094712974704,0.0,0.0,6909.37812441499,64397.88165074588
2021-04-13,BUY,2021.0,31.864364992947,31.864364992947,2021.0,0.0,64397.88165074588
2021-05-10,SELL,1879.03,31.864364992947,0.0,0.0,-4523.783898048687,59874.0977526972
2021-06-02,BUY,2222.0,26.946038592572997,26.946038592572997,2222.0,0.0,59874.0977526972
2021-06-30,SELL,2056.7,26.946038592572997,0.0,0.0,-4454.180179352321,55419.91757334488
